Table ID,File path,Section ID,Source Experiment ID(s),Main text / Appendix,Main message,Status
S06_01_T01,Results_PaperReady_Tables/S06_01_T01_Dynamic_Regime_Performance__E4_E5_v01.csv,S06_01,E4;E5,Main text,Post-COVID UR RMSE 0.273 pp (5-seed mean) and the corresponding numbers for the three other evaluation windows.,READY
S06_02_T01,Results_PaperReady_Tables/S06_02_T01_Internal_Control_Comparison__E6_v01.csv,S06_02,E6,Main text,Four-row ladder: V_Full 0.273 / V_LaborOnly 0.363 / V_Homogeneous 0.545 / V_Simplified 0.562 pp UR RMSE.,READY
S06_02_T02,Results_PaperReady_Tables/S06_02_T02_Source_of_Advantage__E7_v01.csv,S06_02,E7,Main text,Within-experiment accounting decomposition: 94% heterogeneity / 6% mechanism / 31% household-block (overlapping) of the 0.289 pp total gain.,READY
S06_03_T01,Results_PaperReady_Tables/S06_03_T01_Recalibrated_Ablation__E8_v01.csv,S06_03,E8,Main text,Six recalibrated ablations: V_NoSearch +0.81 / V_NoSLH +0.43 / V_NoLiquidity +0.11 / V_NoHousing −0.04 pp vs V_Full.,READY
S06_03_T02,Results_PaperReady_Tables/S06_03_T02_Heterogeneity_Ladder__E9_v01.csv,S06_03,E9,Main text,Heterogeneity ladder L0..L6 with marginal gains per added dimension; housing step contributes the largest single drop.,READY
S06_04_T01,Results_PaperReady_Tables/S06_04_T01_Dynamic_Benchmark_Comparison__E10_v01.csv,S06_04,E10,Main text,Twelve-model comparison on the post-COVID window; ABM rank 1 with margin 0.036 pp over the joint runner-up (No-change/ETS).,READY
S06_05_T01,Results_PaperReady_Tables/S06_05_T01_Robustness_Summary__E11_E12_E13_v01.csv,S06_05,E11;E12;E13,Main text,Four robustness lenses; prediction CV across calibration methods 5.55 percent; 10 of 14 parameters weakly identified.,READY
E01_T01,Results_By_Experiment/E01_Synthetic_Population_Construction/tables/E01_T01_Population_Summary_v01.csv,—,E1,Appendix A,Synthetic population size and source.,READY
E01_T02,Results_By_Experiment/E01_Synthetic_Population_Construction/tables/E01_T02_Population_Diagnostics_v01.csv,—,E1,Appendix A,Diagnostics of the synthetic population against SCE marginals.,READY
E02_T01,Results_By_Experiment/E02_Baseline_Stability_Check/tables/E02_T01_Stability_Summary_v01.csv,—,Appendix A,E2,Baseline stability summary (no diverging seeds across the 14-year window).,READY
