Old File Name,New Proposed File Name,Section ID,Experiment ID,Suggested Figure Number,Main Text / Appendix,Caption,Main Message
正式撰写/fix6.1/figures/fig1_full_period_ur.png,S06_01_F01_FullPeriod_UR_Path__EX04R_v01.png,S06_01,EX04R,Figure 6.1,Main,"Simulated vs observed U.S. unemployment rate, 2018-01 to 2026-02, with pre-COVID stable / COVID crisis / post-COVID normalization regimes shaded. ABM curve is the 5-seed mean of the recalibrated V_Full.","Visualizes the regime-specific quality of fit; post-COVID alignment is tight, COVID spike is under-predicted, pre-COVID is over-predicted."
正式撰写/fix6.1/figures/fig2_regime_ur_rmse_bar.png,S06_01_F02_Regime_UR_RMSE_Bar__EX04R_v01.png,S06_01,EX04R,Figure 6.2,Main,"UR RMSE (pp) bar chart by regime: post-COVID normalization, COVID crisis (Mar 2020 on), pre-COVID stable, full post-2018. Error bars = ±1 seed s.d. across 5 seeds.","Post-COVID is the regime of strongest fit (0.221 pp); model is not designed as a crisis forecaster."
正式撰写/fix6.1/figures/fig3_prediction_error_time.png,S06_01_F03_Prediction_Error_Time__EX04R_v01.png,S06_01,EX04R,Figure A1,Appendix,"Time series of simulated minus observed UR (pp) over the full evaluation window, with regime annotations.","Sign and magnitude of regime-specific bias visible."
正式撰写/fix6.1/figures/fig4_lfpr_epop_regime_bar.png,S06_01_F04_LFPR_EPOP_Regime_Bar__EX04R_v01.png,S06_01,EX04R,Figure A2,Appendix,"LFPR and EPOP RMSE (pp) bar chart by regime.","Tier-2 targets are not the model's strength post-COVID."
正式撰写/fix6.2/figures/fig1_variant_ur_rmse_bar.png,S06_02_F01_Control_UR_RMSE_Bar__EX08R_v01.png,S06_02,EX08R,Figure 6.3,Main,"Post-COVID UR RMSE (pp) for the four separately re-calibrated variants: V_Full, V_LaborOnly, V_Homogeneous, V_Simplified. Error bars = ±1 s.d. across 5 final seeds.","Full strictly best after recalibration; gap is moderate (0.288 pp vs Simplified)."
正式撰写/fix6.2/figures/fig2_source_of_advantage_waterfall.png,S06_02_F02_Source_Advantage_Waterfall__EX08R_v01.png,S06_02,EX08R,Figure 6.4,Main,"Waterfall decomposition: Simplified RMSE → +mechanism (to Homogeneous) → +household (to LaborOnly) → +heterogeneity (to Full).","Within-experiment accounting: heterogeneity share 94.2% of the small 0.288 pp total gain (not causal)."
正式撰写/fix6.2/figures/fig3_variant_ur_lines.png,S06_02_F03_Control_UR_Trajectories__EX08R_v01.png,S06_02,EX08R,Figure A3,Appendix,"UR trajectories of the four variants vs observed UR over the post-COVID window.",—
正式撰写/fix6.2/figures/fig4_regime_x_variant_heatmap.png,S06_02_F04_Regime_Control_Heatmap__EX08R_v01.png,S06_02,EX08R,Figure A4,Appendix,"UR RMSE heatmap: regime × variant.","Full is not best in every regime."
正式撰写/fix6.2/figures/fig5_within_variant_dispersion.png,S06_02_F05_Within_Variant_Dispersion__EX08R_v01.png,S06_02,EX08R,Figure A5,Appendix,"Top-5 LHS-candidate × 5-seed dispersion box plot per variant.","V_Full seed s.d. 0.023 pp; magnitude of ABM-vs-no-change lead lies within this band."
正式撰写/fix6.3/figures/fig1_recalibrated_ablation_ur.png,S06_03_F01_Ablation_UR_RMSE_Bar__EX05R_v01.png,S06_03,EX05R,Figure 6.5,Main,"Post-COVID UR RMSE for V_Full and six re-calibrated ablation variants: No-Search, No-Liquidity, No-Housing, No-SLH, No-Consumption, Search-Only.","Only No-Search shows a large standalone degradation (+0.812 pp); other dimensions largely close after recalibration."
正式撰写/fix6.3/figures/fig2_old_vs_new_delta.png,S06_03_F02_Old_vs_New_Ablation_Delta__EX05R_v01.png,S06_03,EX05R,Figure 6.6,Main,"Old raw delta vs new re-calibrated delta per ablation dimension.","Recalibration largely closes the Liq/Hous gaps; Search gap is robust."
正式撰写/fix6.3/figures/fig3_regime_x_ablation_heatmap.png,S06_03_F03_Regime_Ablation_Heatmap__EX05R_v01.png,S06_03,EX05R,Figure A6,Appendix,"Regime × ablation UR RMSE heatmap.",—
正式撰写/fix6.3/figures/fig4_no_search_trajectory.png,S06_03_F04_NoSearch_Trajectory__EX05R_v01.png,S06_03,EX05R,Figure A7,Appendix,"V_Full vs V_NoSearch UR trajectory.","Search Friction is structurally hard to substitute even after recalibration."
正式撰写/fix6.3/figures/fig5_lfpr_epop_tradeoff.png,S06_03_F05_LFPR_EPOP_Tradeoff__EX05R_v01.png,S06_03,EX05R,Figure A8,Appendix,"LFPR vs EPOP RMSE trade-off across ablation variants.","Removing household block improves LFPR/EPOP fit but hurts UR fit."
正式撰写/6.3/figures/fig3_heterogeneity_ladder.png,S06_03_F06_Heterogeneity_Ladder__EX11_v01.png,S06_03,EX11,Figure A9,Appendix,"Heterogeneity ladder marginal-gain curve (Core L0..L6 + Layer G2,G3).","Marginal gain plateaus after the labor-search dimension is added."
正式撰写/fix6.4/figures/fig1_rmse_bars_postcovid_dynamic.png,S06_04_F01_Dynamic_Benchmark_RMSE_Bar__EX07R_v01.png,S06_04,EX07R,Figure 6.7,Main,"Post-COVID UR RMSE for ABM and 11 dynamic-protocol benchmarks (no-change, hist mean, drift, AR, ARIMA, ETS, VAR, Ridge VAR, Beveridge, DMP, flow).","ABM rank 1 at 0.273 pp; no-change/ETS tied at 0.309 pp (Δ=0.036 pp within seed s.d.)."
正式撰写/fix6.4/figures/fig2_ratio_vs_abm.png,S06_04_F02_Benchmark_Ratio__EX07R_v01.png,S06_04,EX07R,Figure A10,Appendix,"RMSE ratio of each benchmark vs the recalibrated ABM.","Quantifies the modesty of the lead over the strongest competitors."
正式撰写/fix6.4/figures/fig4_scatter_postcovid.png,S06_04_F03_Dynamic_vs_Rolling_RMSE__EX07R_v01.png,S06_04,EX07R,Figure A11,Appendix,"Scatter of model RMSE on post-COVID window (dynamic vs reference).",—
正式撰写/fix6.4/figures/fig5_heatmap_model_regime.png,S06_04_F04_Regime_Benchmark_Heatmap__EX07R_v01.png,S06_04,EX07R,Figure A12,Appendix,"Model × regime UR RMSE heatmap (12 × 4).","ABM is not rank 1 in every regime."
正式撰写/fix6.4/figures/fig3_paths_postcovid_dynamic.png,S06_04_F05_Benchmark_Trajectories__EX07R_v01.png,S06_04,EX07R,Figure A13,Appendix,"Benchmark and ABM trajectories on the post-COVID window.",—
正式撰写/fix6.5/figures/fig1_revised_dashboard.png,S06_05_F01_Robustness_Overview__EX06R_v01.png,S06_05,EX06R,Figure 6.8,Main,"4-panel dashboard: (A) regime UR RMSE; (B) controls + ablation; (C) benchmark race; (D) legacy invariants (seed/init/horizon/N/method).","Single-figure summary of within-regime robustness and the regime-asymmetry caveat."
正式撰写/6.5/figures/fig2_training_splits.png,S06_05_F02_Training_Window_Sensitivity__EX09_v01.png,S06_05,EX09,Figure A14,Appendix,"OOS RMSE per training-window split × model (10 splits).","Ranking and OOS RMSE band stable to train-window choice."
正式撰写/6.5/figures/fig3_horizon_slope.png,S06_05_F03_Forecast_Horizon_Slope__EX10_v01.png,S06_05,EX10,Figure A15,Appendix,"Log-log forecast horizon RMSE curves with slopes for ABM and 7 benchmarks.","ABM slope -0.092 is the shallowest among the 8 models."
正式撰写/6.5/figures/fig4_agent_convergence.png,S06_05_F04_Agent_Count_Convergence__EX12_v01.png,S06_05,EX12,Figure A16,Appendix,"UR RMSE vs N curves for 4 models × 10 seeds × 2 modes (subsample / regenerate).","Plateau at N>=50k; default N=100,000 past plateau."
正式撰写/6.5/figures/fig5_calibration_sensitivity.png,S06_05_F05_Calibration_Method_Sensitivity__EX13_v01.png,S06_05,EX13,Figure A17,Appendix,"Best-test UR RMSE per calibration method (RS/LHS/Sobol/CtF/DE).","Range 0.214–0.243 pp; predictions method-invariant."
正式撰写/6.5/figures/fig6_param_drift_heatmap.png,S06_05_F06_Parameter_Drift_Heatmap__EX13_v01.png,S06_05,EX13,Figure A18,Appendix,"Per-parameter top-5 coefficient-of-variation heatmap across 5 calibration methods.","10/14 parameters have CV >= 0.40 (weakly identified)."
Phase2_Output/figures/ (population diagnostic plots),S04_02_F01_Population_Marginals__EX01_v01.png,S04_02,EX01,Figure 4.1,Main,"Population marginal distribution validation: age, education, employment, housing, liquidity, consumption-type vs SCE targets.",MISSING — figure file not found in current Phase2_Output snapshot.
"正式撰写/6.1/figures/fig1_oos_ur_baseline.png (legacy)",DEPRECATED — superseded by S06_01_F01,S06_01,EX04,Figure,—,"Legacy single-window OOS UR plot (Phase 7 baseline).","Replaced because the single-window number masked regime-asymmetric errors."
"正式撰写/6.2/figures/fig1_oos_ur_rmse_bar.png (legacy)",DEPRECATED — superseded by S06_02_F01,S06_02,EX08,Figure,—,"Legacy Phase-8 controls bar at shared parameters.","Replaced because controls were not separately calibrated."
"正式撰写/6.3/figures/fig1_dimension_ablation_bar.png (legacy)",DEPRECATED — superseded by S06_03_F01,S06_03,EX05,Figure,—,"Legacy raw ablation bar at default config.","Replaced because variants were not separately re-calibrated."
"正式撰写/6.4/figures/fig1_oos_paths.png (legacy)",DEPRECATED — superseded by S06_04_F01,S06_04,EX07,Figure,—,"Legacy 4-benchmark race.","Replaced because the new race includes 12 benchmarks under a like-for-like dynamic protocol."
