Experiment ID,Experiment Name,Original / Revised,Paper Section,Main Claim,Main Table ID,Main Figure ID,Appendix Items,Status
EX01,Population Initialization,Original,S04_02,"100,000-agent synthetic population reproduces SCE marginal & joint moments for 6 MVP dimensions; all illegal-value checks pass.",S04_02_T01,S04_02_F01,"Phase2_Output/04_Population_Diagnostic_Report.md",Final
EX02,First Stable Run,Original,S03_01,"Monthly engine runs 120-month stable simulation; transition mechanics validated.",—,—,"Phase3_Output/phase5/stable_run_*",Final
EX03,Calibration (legacy LHS),Original,S05_01,"14-parameter LHS calibration with 3 seeds; baseline candidate cand_idx=32 selected.",—,—,"正式撰写/6.1/baseline_candidate.json",Final (superseded by EX08R for control-side calibration)
EX04,Original Main OOS,Original,(superseded),"Baseline 5-seed OOS UR RMSE 0.214 pp (legacy single-window).",—,—,"正式撰写/6.1/tables/*",Superseded by EX04R
EX04R,Revised Regime-Specific OOS,Revised,S06_01,"Post-COVID normalization UR RMSE 0.221 ± 0.007 pp; COVID crisis 2.82 pp with -2.07 pp bias; pre-COVID stable 0.79 pp with +0.77 pp bias. Model is a normal-regime tracker, not a crisis forecaster.",S06_01_T01,S06_01_F01,"S06_01_T02 (seed-level); S06_01_T03 (old vs regime); S06_01_F02–F04","Final"
EX05,Original Heterogeneity Ablation,Original,(superseded),"Single-flatten ablations at default-config: Search delta +0.889 pp, Liquidity +0.299 pp, Housing +0.162 pp (each control NOT separately calibrated).",—,—,"正式撰写/6.3/tables/*",Superseded by EX05R
EX05R,Revised Re-calibrated Ablation,Revised,S06_03,"After separate LHS calibration: No-Search +0.812 pp (large gap survives); No-Liquidity +0.105 pp; No-Housing -0.036 pp; No-SLH +0.429 pp; No-Consumption -0.025 pp; Search-Only +0.037 pp. Only Search Friction is structurally hard to substitute.",S06_03_T01,S06_03_F01,"S06_03_T02 (old vs new); S06_03_T03 (regime × ablation); S06_03_F02–F05","Final"
EX06,Phase 7 Robustness (legacy R1–R4 + Pkg A/B/D/E),Original,S06_05 (legacy invariant rows),"Multi-seed CV 3.08%; init-window {24,36,48} 0 pp range; tier-2 loss-weight Δ=0; Pkg A 10-split 0.245 ± 0.011 pp; Pkg B horizon slope -0.092; Pkg D plateau N>=50k; Pkg E 5 methods CV 5.55%.",—,—,"正式撰写/6.5/robustness_metrics.json; Package*_Summary.md",Final
EX06R,Revised Robustness Synthesis,Revised,S06_05,"Synthesis confirms within-regime robustness only; 10/14 parameters weakly identified across calibration methods despite method-invariant predictions.",S06_05_T01,S06_05_F01,"S06_05_T02–T07 (sub-tests); S06_05_F02–F06","Final"
EX07,Original Benchmark Comparison,Original,(superseded),"Legacy benchmark race using internal AR/VAR/Beveridge/DMP only (4 benchmarks).",—,—,"正式撰写/6.4/tables/*",Superseded by EX07R
EX07R,Revised Stronger Benchmark Comparison,Revised,S06_04,"Dynamic multi-step protocol, 12 models: ABM_Full_recalibrated 0.273 pp UR RMSE (rank 1); no-change 0.309 pp; ETS 0.309 pp; Beveridge 0.422 pp; flow-based 0.426 pp. ABM lead over best benchmark is 0.036 pp / 13%, within the ±0.023 pp V_Full seed s.d.",S06_04_T01,S06_04_F01,"S06_04_T02–T05; S06_04_F02–F05","Final"
EX08,Original Source of Advantage (Phase 8 legacy),Original,(superseded),"Shared-parameter Homogeneous/Simplified controls evaluated at heterogeneous-ABM's calibrated parameters; Homogeneous RMSE 2.214 pp; Simplified 2.330 pp; heterogeneity share 97.6%.",—,—,"Phase3_Output/phase8/*",Superseded by EX08R
EX08R,Revised Re-calibrated Controls,Revised,S06_02,"Each variant separately re-calibrated with identical LHS protocol: V_Full 0.273 pp; V_LaborOnly 0.363 pp; V_Homogeneous 0.545 pp; V_Simplified 0.562 pp. Heterogeneity advantage shrinks from 2.116 → 0.288 pp (heterogeneity share 94.2% of a much smaller total gain).",S06_02_T01,S06_02_F01,"S06_02_T02 (source-of-advantage); S06_02_T03–T05; S06_02_F02–F05","Final"
EX09,Training Window Sensitivity (legacy Pkg A),Original,S06_05 (sub-test),"10 OOS-aligned train/test splits; M0 OOS RMSE 0.245 ± 0.011 pp; 0/14 calibrated params drift across splits; ranking stable.",S06_05_T03,S06_05_F02,—,Final (legacy M0; not re-run on recalibrated controls)
EX10,Forecast Horizon Sensitivity (legacy Pkg B),Original,S06_05 (sub-test),"M0 log-log RMSE slope -0.092 across h=1..36; shallowest among 8 models tested; no horizon explosion.",S06_05_T04,S06_05_F03,—,Final (legacy benchmarks)
EX11,Heterogeneity Ladder (legacy Pkg C),Original,S06_03 appendix,"Core 7-level + Layer 4-level projection + refit ladder; marginal gain plateaus after the labor-search dimension is added.",S06_03_T04,S06_03_F06,—,Final
EX12,Agent Count Sensitivity (legacy Pkg D),Original,S06_05 (sub-test),"|ΔRMSE|<0.015 pp at N>=50k across 4 models × 10 seeds × 2 modes; default N=100,000 past plateau.",S06_05_T05,S06_05_F04,—,Final
EX13,Calibration Method Sensitivity (legacy Pkg E),Original,S06_05 (sub-test),"5 methods (Random Search, LHS, Sobol, CtF, DE) × 200 evals × 3 seeds. Best-test UR RMSE band 0.214–0.243 pp (CV 5.55%); predictions method-invariant. 10/14 parameters have top-5 CV >= 0.40 (weakly identified).",S06_05_T06+T07,S06_05_F05+F06,—,Final
