param_name,mechanism_config_key,param_key,low,high,units,description,V_Full,V_Homogeneous,V_LaborOnly,V_Simplified,V_NoSearch,V_NoLiquidity,V_NoHousing,V_NoSLH,V_NoConsumption,V_SearchOnly,identification_status_top5
vacancy_rate,matching_competition,vacancy_rate,0.02,0.08,share,Aggregate vacancy posting rate per agent per month,ACTIVE,ACTIVE,ACTIVE,ACTIVE,ACTIVE,ACTIVE,ACTIVE,ACTIVE,ACTIVE,ACTIVE,STABLE (CV=0.33)
fragility_threshold,high_fragility_modifier,fragility_threshold,0.3,0.7,fraction,Threshold on labor-fragility index above which acceptance pressure activates,ACTIVE,ACTIVE,ACTIVE,INACTIVE=0.50,ACTIVE,ACTIVE,ACTIVE,ACTIVE,ACTIVE,ACTIVE,STABLE (CV=0.22)
acceptance_pressure,high_fragility_modifier,acceptance_pressure_factor,0.05,0.30,fraction,Reservation-wage discount applied above the fragility threshold,ACTIVE,ACTIVE,ACTIVE,INACTIVE=0.15,ACTIVE,ACTIVE,ACTIVE,ACTIVE,ACTIVE,ACTIVE,WEAK (CV=0.55)
h2m_resv_discount,liquidity_constraint_modifier,h2m_resv_wage_discount,0.10,0.35,fraction,Hand-to-mouth reservation-wage discount,ACTIVE,ACTIVE,INACTIVE=0.20,INACTIVE=0.20,ACTIVE,ACTIVE,ACTIVE,ACTIVE,ACTIVE,ACTIVE,WEAK (CV=0.42)
lockin_penalty,housing_lockin_modifier,lockin_search_penalty,0.10,0.50,fraction,Search-intensity penalty for housing-locked agents,ACTIVE,ACTIVE,ACTIVE,INACTIVE=0.30,ACTIVE,ACTIVE,ACTIVE,ACTIVE,ACTIVE,ACTIVE,WEAK (CV=0.59)
duration_thresh,discouraged_worker,duration_threshold_months,3,12,months,Unemployment duration above which exit-to-NILF probability jumps,ACTIVE,ACTIVE,ACTIVE,INACTIVE=6.0,ACTIVE,ACTIVE,ACTIVE,ACTIVE,ACTIVE,ACTIVE,WEAK (CV=0.45)
exit_jump,discouraged_worker,exit_jump_factor,1.0,4.0,multiplier,Multiplier on monthly NILF-exit probability after duration_thresh,ACTIVE,ACTIVE,ACTIVE,INACTIVE=2.0,ACTIVE,ACTIVE,ACTIVE,ACTIVE,ACTIVE,ACTIVE,WEAK (CV=0.59)
reentry_penalty,housing_reentry_friction,owner_reentry_penalty,0.05,0.50,fraction,Re-entry friction for housing-owners returning to the labor force,ACTIVE,ACTIVE,ACTIVE,INACTIVE=0.30,ACTIVE,ACTIVE,ACTIVE,ACTIVE,ACTIVE,ACTIVE,WEAK (CV=0.50)
h2m_mpc_floor,effective_mpc_adjustment,h2m_mpc_floor,0.85,0.99,fraction,Lower bound on MPC for hand-to-mouth agents,ACTIVE,ACTIVE,INACTIVE=0.95,INACTIVE=0.95,ACTIVE,ACTIVE,ACTIVE,ACTIVE,ACTIVE,ACTIVE,STABLE (CV=0.06)
wealthy_discount,effective_mpc_adjustment,wealthy_mpc_discount,0.15,0.50,fraction,MPC discount applied to Wealthy liquidity type,ACTIVE,ACTIVE,INACTIVE=0.30,INACTIVE=0.30,ACTIVE,ACTIVE,ACTIVE,ACTIVE,ACTIVE,ACTIVE,STABLE (CV=0.36)
emp_adapt_speed,state_dependent_expectation,employed_adaptation_speed,0.02,0.15,fraction,Expectation-update speed for employed agents,ACTIVE,ACTIVE,ACTIVE,INACTIVE=0.05,ACTIVE,ACTIVE,ACTIVE,ACTIVE,ACTIVE,ACTIVE,WEAK (CV=0.64)
unemp_adapt_speed,state_dependent_expectation,unemployed_adaptation_speed,0.08,0.35,fraction,Expectation-update speed for unemployed agents,ACTIVE,ACTIVE,ACTIVE,INACTIVE=0.20,ACTIVE,ACTIVE,ACTIVE,ACTIVE,ACTIVE,ACTIVE,WEAK (CV=0.44)
pessimism_exit,expectation_participation,pessimism_exit_boost,0.05,0.40,fraction,Boost to exit-to-NILF probability for pessimistic expectations,ACTIVE,ACTIVE,ACTIVE,INACTIVE=0.20,ACTIVE,ACTIVE,ACTIVE,ACTIVE,ACTIVE,ACTIVE,WEAK (CV=0.43)
optimism_entry,expectation_participation,optimism_entry_boost,0.10,0.50,fraction,Boost to enter-from-NILF probability for optimistic expectations,ACTIVE,ACTIVE,ACTIVE,INACTIVE=0.30,ACTIVE,ACTIVE,ACTIVE,ACTIVE,ACTIVE,ACTIVE,WEAK (CV=0.49)
