Claim ID,Claim,Results section,Source experiments,Evidence table,Evidence figure,Strength,Caveat,Paper-ready wording
C01,Full model tracks recent monthly unemployment with sub-pp RMSE on the post-COVID window.,S06_01,E4,S06_01_T01,S06_01_F01,Strong,5-seed mean only; cross-seed SD 0.023 pp; dynamic multi-step not rolling.,"Over 2022-01 to 2026-02 the recalibrated V_Full attains UR RMSE 0.27 pp (5-seed mean, SD 0.02), bias −0.04 pp, correlation 0.79."
C02,Model performance varies materially across evaluation windows.,S06_01,E5,S06_01_T01,S06_01_F02,Strong,Cross-window differences are not equalised by any window-specific re-fit.,"The model attains UR RMSE 0.27 pp on the post-COVID window but 2.82 pp on the 2020-03..2021-12 crisis window without re-fit; both numbers are reported together."
C03,The post-COVID window is the headline tracking window of the paper.,S06_01,E4,S06_01_T01,S06_01_F01,Strong,Crisis-window number must also be reported.,"We treat the post-COVID 2022-01..2026-02 window as the headline tracking window; the COVID crisis window is reported as a boundary diagnostic."
C04,Full model improves over separately calibrated internal controls.,S06_02,E6,S06_02_T01,S06_02_F01,Strong,All three controls are separately recalibrated under the same LHS budget.,"Under the same calibration budget, V_Full attains UR RMSE 0.27 pp vs 0.36 (LaborOnly), 0.55 (Homogeneous), 0.56 (Simplified)."
C05,The heterogeneity advantage is moderate, not overwhelming.,S06_02,E6;E7,S06_02_T02,S06_02_F01,Moderate,The 0.29 pp total gain is within the noise band of the strongest external benchmarks.,"The total RMSE gain of V_Full over the flattened reference is 0.29 pp on the post-COVID window."
C06,The source-of-advantage decomposition is an accounting identity, not a causal partition.,S06_02,E7,S06_02_T02,—,Strong (definitional),Each variant is recalibrated; some difference is absorbed by parameter substitution.,"We refer to the 94 / 6 percent split as a within-experiment accounting decomposition rather than a causal partition."
C07,Search-friction heterogeneity is the least substitutable channel.,S06_03,E8,S06_03_T01,S06_03_F01,Strong,Magnitude is an accounting delta under recalibration, not a causal contribution.,"Recalibrating after removing search-friction heterogeneity leaves the largest residual gap (UR RMSE 1.09 pp, +0.81 pp vs V_Full)."
C08,Liquidity and housing dimensions are largely substitutable after recalibration.,S06_03,E8,S06_03_T01,S06_03_F01,Moderate,V_NoHousing slightly improving over V_Full is an artefact of parameter reassignment.,"V_NoLiquidity attains 0.38 pp (+0.11) and V_NoHousing attains 0.24 pp (−0.04) after recalibration."
C09,The heterogeneity ladder confirms incremental marginal value of adding dimensions.,S06_03,E9,S06_03_T02,S06_03_F02,Moderate,Order-dependent; several adjacent levels differ by less than the seed SD.,"Starting from a homogeneous L0 baseline at 0.55 pp, incrementally adding heterogeneity dimensions monotonically improves UR RMSE down to 0.27 pp at L6, with the largest single-step gain at the housing step."
C10,ABM is competitive with external benchmarks under the same dynamic protocol.,S06_04,E10,S06_04_T01,S06_04_F01,Strong,ABM trains on 2004-2017 while benchmarks train on 2001-2022.,"Under a common dynamic multi-step protocol on the post-COVID window, the ABM ranks first across twelve models."
C11,ABM advantage over the best simple benchmarks is modest.,S06_04,E10,S06_04_T01,S06_04_F01,Strong,Margin is the same order as the ABM's own seed SD.,"The margin over the closest benchmarks (No-change and ETS, both at 0.31 pp) is 0.04 pp — comparable to the ABM's cross-seed standard deviation of 0.02 pp."
C12,Rolling one-step benchmarks are reported as a diagnostic, not as the headline comparison.,S06_04,E10,S06_04_T01,—,Moderate,The dynamic multi-step protocol is the headline protocol throughout the paper.,"We report rolling-origin one-step results as a sensitivity to the forecasting protocol, not as the headline benchmark comparison."
C13,Results are stable across evaluation seeds.,S06_01;S06_02;S06_03,E4;E5;E6;E8,S06_01_T01,S06_01_F01,Strong,Five final evaluation seeds {42, 137, 2024, 888, 1234}; cross-seed SD 0.023 pp.,"Five evaluation seeds yield a cross-seed standard deviation of 0.02 pp in the post-COVID UR RMSE."
C14,Results are not driven by one training window.,S06_05,E11,S06_05_T01,S06_05_F01,Moderate,Computed on the legacy M0 family; ranking-level conclusion.,"Across ten alternative train/test splits, the ABM family wins against the four legacy benchmarks on six of the seven post-COVID-aligned splits."
C15,Results are not driven by agent count.,S06_05,E12,S06_05_T01,S06_05_F01,Strong,Plateau identified at N ≥ 50,000 agents.,"Mean UR RMSE plateaus for N ≥ 50,000 agents; the default N = 100,000 is past the plateau."
C16,Results are not driven by one calibration method.,S06_05,E13,S06_05_T01,S06_05_F01,Strong,Performance CV measured at 5.55% across five methods.,"Holding the simulator fixed and varying the calibration method across five protocols produces best-test UR RMSE in the band 0.21 to 0.24 pp (CV 5.55 percent)."
C17,Many free parameters are weakly identified.,S06_05,E13,S06_05_T01,S06_05_F01,Strong,10 of 14 parameters exhibit CV ≥ 0.40 across top-5 within at least one method.,"Ten of fourteen free parameters exhibit a coefficient of variation greater than 0.40 across the top-five candidates within a single calibration method."
C18,Parameter values are fitted simulation quantities, not structural estimates.,S06_05,E13,S06_05_T01,—,Strong (methodological),"This is a wording rule and applies across the paper; do not say ""structurally identifies"" for the 10 weak parameters.","We report all calibrated parameters as fitted simulation quantities reported as bands, not as structurally identified estimates."
C19,The model is predictive and diagnostic, not structural.,(framing),E4;E10;E13,—,—,Strong (framing),"This is a positioning claim; it constrains how E6/E7/E8 decompositions can be described.","We position the model as a survey-moment-anchored predictive and diagnostic tool, not as a structurally identified model."
C20,The model does not claim universal accuracy across regimes.,S06_01,E5,S06_01_T01,S06_01_F02,Strong,Crisis-window error 2.82 pp is reported as a boundary.,"We do not claim universal accuracy across regimes; the COVID crisis window error of 2.82 pp marks the current boundary of the model's quantitative reach."
