Claim,Evidence,Section,Strength,Caveat,Suggested Wording
"The model tracks post-COVID unemployment with sub-pp accuracy.","V_Full re-calibrated post-COVID UR RMSE = 0.273 pp (±0.023 pp across 5 seeds); baseline calibration gives 0.221 ± 0.007 pp. Correlation with observed UNRATE is 0.79.",S06_01;S06_02,Strong,"Result is regime-conditional; covers 2022-01..2026-02 only. Post-COVID is the design target, not a held-out window in the structural sense.","Across the post-COVID normalization window the recalibrated heterogeneous ABM tracks U.S. unemployment with a 5-seed RMSE of 0.27 pp (correlation 0.79)."
"The model does not reproduce the COVID spike.","COVID-crisis window (2020-03..2021-12): UR RMSE 2.82 pp, MAE 2.43 pp, max-abs error 6.07 pp; correlation 0.76; mean sim 4.94% vs observed 7.01%; bias -2.07 pp.",S06_01,Strong,"Correlation 0.76 indicates the model captures the direction of the crisis even though it under-predicts the level.","The model tracks the direction of the COVID-19 shock (correlation 0.76) but under-predicts its peak magnitude by about 2.07 pp on average."
"The model is a normal-regime tracker, not a crisis forecaster.","Regime decomposition (S06_01_T01): post-COVID 0.22 pp, COVID 2.82 pp, pre-COVID 0.79 pp.",S06_01;S06_05,Strong,"Pre-COVID over-prediction (+0.77 pp bias) is also non-trivial; ""normal-regime"" should be read as ""post-COVID normalization regime"".","The model is positioned as a post-COVID normalization tracker; crisis windows are reported as stress-regime diagnostics, not predictive targets."
"Worker heterogeneity improves post-COVID tracking relative to separately calibrated controls.","Re-calibrated controls (S06_02_T01): V_Full 0.273 vs V_Simplified 0.562; V_Homogeneous 0.545; V_LaborOnly 0.363 pp. V_Full strictly best after each control is independently re-calibrated under identical LHS budget (100/100/100/30 draws × 3 calibration seeds, identical loss, identical training window 2004-01..2017-12).",S06_02,Strong,"Existence of the gap is robust; the magnitude is not the headline.","Holding the calibration protocol and training window fixed, the heterogeneous variant attains a lower post-COVID RMSE than each separately calibrated internal control."
"The heterogeneity advantage is moderate, not overwhelming.","Total gain V_Simplified − V_Full = 0.288 pp; heterogeneity-associated share = 94.2%; mechanism share = 5.8%. Old shared-parameter comparison reported 2.116 pp total gain and 97.6% share — the old gap was ~10× larger because controls were evaluated at the heterogeneous ABM's calibrated parameters.",S06_02,Moderate,"This is within-experiment accounting under separate calibration, not a causal decomposition.","After separate recalibration the heterogeneity-associated gain shrinks from the legacy 2.12 pp to 0.29 pp, indicating that the advantage is statistically meaningful but quantitatively moderate."
"Labor Search Friction is the most robust standalone heterogeneity channel.","Re-calibrated ablation (S06_03_T01): Δ(No-Search) = +0.812 pp; Δ(No-Liquidity) = +0.105; Δ(No-Housing) = -0.036; Δ(No-SLH) = +0.429; Δ(No-Consumption) = -0.025; Δ(Search-Only) = +0.037 pp.",S06_03,Strong,"This is the only standalone dimension whose ablation cannot be recovered by recalibrating the remaining parameters.","Among the heterogeneity dimensions, only Labor Search Friction is structurally hard to substitute: removing it raises post-COVID UR RMSE by 0.81 pp even after the remaining parameters are independently re-calibrated."
"Liquidity and housing standalone effects are weaker after re-calibration.","Old raw delta vs new delta (S06_03_T02): Liquidity +0.299 → +0.105 pp; Housing +0.162 → -0.036 pp (sign flips).",S06_03,Strong,"Liquidity and Housing still contribute jointly with Search (No-SLH delta +0.429 pp); the claim concerns standalone deltas only.","The standalone contributions of liquidity-fragility and housing-mobility heterogeneity are largely absorbed by parameter recalibration in their absence; jointly with search friction they remain non-trivial."
"Household mechanisms improve UR tracking but worsen LFPR/EPOP fit.","S06_02_T01: LaborOnly variant has LFPR RMSE 2.74 pp and EPOP RMSE 2.47 pp, vs V_Full LFPR 4.83 pp and EPOP 4.76 pp. V_Full beats LaborOnly on UR by 0.09 pp.",S06_02;S06_03,Moderate,"Trade-off is qualitative; tier-2 weights in the loss are small, so this is consistent with the calibration choice rather than a behavioural finding.","Adding the household block lowers UR RMSE by about 0.09 pp but worsens LFPR/EPOP RMSE by 2.1–2.3 pp, reflecting the tier-1-weighted loss function."
"The ABM is competitive with strong forecasting benchmarks.","Post-COVID dynamic protocol (S06_04_T01): ABM 0.273 pp; no-change 0.309; ETS 0.309; Beveridge 0.422; flow-based 0.426; VAR 0.663; DMP 0.636; AR 1.611; ARIMA 1.617; Ridge VAR 1.264; hist mean 2.173; drift 6.919 pp. ABM rank 1 of 12.",S06_04,Strong,"The post-COVID window is sub-pp easy for many time-series benchmarks; the comparison is honest at the post-COVID regime only.","On the post-COVID window, the recalibrated ABM is the lowest-RMSE model among 12 dynamic-protocol forecasters."
"The ABM's advantage over no-change / ETS is modest.","Margin = 0.036 pp / 13% relative. V_Full seed s.d. is 0.023 pp; the margin falls within ±1 s.d. of the ABM itself.",S06_04;S06_05,Strong,"This caveat must travel with every benchmark statement.","The lead over no-change and ETS is modest (0.036 pp or 13% relative) and lies within the seed dispersion of V_Full."
