Old Table Name,New Proposed Table Name,Section ID,Experiment ID,Suggested Table Number,Main Text / Appendix,Main Message
正式撰写/fix6.1/tables/table1_regime_summary.csv,S06_01_T01_Regime_Performance__EX04R_v01.csv,S06_01,EX04R,Table 6.1,Main,"Per-regime UR/LFPR/EPOP RMSE/MAE/Corr/Bias/Max-Abs over 5 evaluation windows (pre-COVID stable, COVID crisis Mar/Jan, post-COVID normalization, full post-2018)."
正式撰写/fix6.1/tables/table2_seed_level_regime.csv,S06_01_T02_Seed_Level_Regime_Metrics__EX04R_v01.csv,S06_01,EX04R,Table A1,Appendix,"Per-seed UR/LFPR/EPOP metrics for each regime (5 seeds × 5 regimes)."
正式撰写/fix6.1/tables/table3_old_vs_regime_comparison.csv,S06_01_T03_Old_vs_Regime_Comparison__EX04R_v01.csv,S06_01,EX04R,Table A2,Appendix,"Old single-window 0.214 pp number broken down into regime components."
正式撰写/fix6.2/tables/table1_variant_summary.csv,S06_02_T01_Control_Comparison__EX08R_v01.csv,S06_02,EX08R,Table 6.2,Main,"V_Full 0.273; V_LaborOnly 0.363; V_Homogeneous 0.545; V_Simplified 0.562 pp. ±5-seed s.d. and full-post-2018 RMSE included."
正式撰写/fix6.2/tables/table4_source_of_advantage.csv,S06_02_T02_Source_Advantage__EX08R_v01.csv,S06_02,EX08R,Table 6.3,Main,"Source-of-advantage decomposition under separately calibrated variants (heterogeneity share 94.2%, mechanism share 5.8%, household block 0.0895 pp)."
正式撰写/fix6.2/tables/table6_old_vs_new_decomposition.csv,S06_02_T03_Old_vs_New_Control_Comparison__EX08R_v01.csv,S06_02,EX08R,Table A3,Appendix,"Old (shared params) vs new (separately calibrated) control RMSE and advantage shares."
正式撰写/fix6.2/tables/table7_regime_x_variant.csv,S06_02_T04_Regime_x_Control__EX08R_v01.csv,S06_02,EX08R,Table A4,Appendix,"4 variants × 5 regimes UR RMSE heatmap data."
正式撰写/fix6.2/tables/table5_calibrated_params.csv,S06_02_T05_Calibrated_Parameters__EX08R_v01.csv,S06_02,EX08R,Table A5,Appendix,"Top-1 calibrated 14-parameter vector per variant; inactive parameters explicitly marked."
正式撰写/fix6.2/tables/table2_top5_within_variant.csv,S06_02_T06_Top5_Within_Variant__EX08R_v01.csv,S06_02,EX08R,Table A6,Appendix,"Top-5 LHS candidates per variant with train and post-COVID reeval loss."
正式撰写/fix6.2/tables/table3_seed_level_metrics.csv,S06_02_T07_Seed_Level_Metrics__EX08R_v01.csv,S06_02,EX08R,Table A7,Appendix,"Per-seed reeval metrics for each variant × top-5 candidate."
正式撰写/fix6.3/tables/table7_paper_ready.csv,S06_03_T01_Recalibrated_Ablation__EX05R_v01.csv,S06_03,EX05R,Table 6.4,Main,"Post-COVID UR RMSE and Δ vs Full for 6 re-calibrated ablation variants."
正式撰写/fix6.3/tables/table5_old_vs_new_delta.csv,S06_03_T02_Old_vs_New_Ablation_Delta__EX05R_v01.csv,S06_03,EX05R,Table 6.5,Main,"Old raw vs new re-calibrated Δ per dimension. Search +0.889 → +0.812; Liquidity +0.299 → +0.105; Housing +0.162 → -0.036."
正式撰写/fix6.3/tables/table6_regime_x_ablation.csv,S06_03_T03_Regime_x_Ablation__EX05R_v01.csv,S06_03,EX05R,Table A8,Appendix,"7 variants × 5 regimes UR RMSE heatmap data."
