Section ID,Paper Section,Main Research Question,Source Experiment IDs,Main Text Tables,Main Text Figures,Appendix Tables,Appendix Figures,Core Claim
S03_01,Model Scope / Architecture,"What does the model include and exclude?",EX02,—,—,—,—,"Worker-side ABM with three labor states (E/U/N); no firm agents, no wage bargaining, no product market, no inflation channel."
S04_01,Data Sources,"What data drive heterogeneity vs. environment paths?",EX01;FRED inputs,—,—,—,—,"4 SCE modules anchor heterogeneity moments; 4 FRED series drive monthly environment; BLS UNRATE/CIVPART/EMRATIO are evaluation targets (not simulation inputs)."
S04_02,Population Construction,"How is the 100,000-agent population built and validated?",EX01,S04_02_T01,S04_02_F01,—,—,"Sequential-conditional sampling from SCE empirical marginals; 5 joint structure validations all pass."
S05_01,Experimental Design,"What loss, training window, calibration budget and re-evaluation protocol are used?",EX03;EX08R,—,—,—,—,"All variants share identical LHS budget (100 draws × 3 seeds for V_Full/Simplified/Homogeneous, 30 for LaborOnly) on 2004-01..2017-12; top-5 by mean train loss re-evaluated on 5 final seeds (42,137,2024,888,1234) over 302-month trajectories."
S06_01,Results 6.1 Regime-Specific Performance,"How does the model perform across regimes (pre-COVID, COVID-crisis, post-COVID, full)?",EX04R,S06_01_T01,S06_01_F01;S06_01_F02,S06_01_T02;S06_01_T03,S06_01_F03;S06_01_F04,"Post-COVID normalization UR RMSE 0.221 pp (correlation 0.79); COVID crisis under-predicted by 2.07 pp on average; pre-COVID over-predicted by 0.77 pp. Model is a normal-regime tracker, not a crisis forecaster."
S06_02,Results 6.2 Separately Calibrated Controls,"After each control is independently calibrated, how large is the heterogeneity advantage?",EX08R,S06_02_T01;S06_02_T02,S06_02_F01;S06_02_F02,S06_02_T03;S06_02_T04;S06_02_T05,S06_02_F03;S06_02_F04;S06_02_F05,"V_Full 0.273 pp; V_LaborOnly 0.363 pp; V_Homogeneous 0.545 pp; V_Simplified 0.562 pp. Total gain 0.288 pp (heterogeneity share 94.2%, mechanism share 5.8%). Advantage is moderate, not overwhelming; old 2.116 pp gap was inflated by holding controls off their own best fit."
S06_03,Results 6.3 Re-calibrated Heterogeneity Ablations,"Which heterogeneity dimensions remain necessary after re-calibration?",EX05R;EX11,S06_03_T01;S06_03_T02,S06_03_F01;S06_03_F02,S06_03_T03;S06_03_T04,S06_03_F03;S06_03_F04;S06_03_F05;S06_03_F06,"Only Search Friction survives recalibrated ablation as a large standalone effect (+0.812 pp). Liquidity (+0.105 pp), Housing (-0.036 pp) and Consumption (-0.025 pp) gaps largely close or sign-flip. Three-mechanism story is reduced to one mechanism."
S06_04,Results 6.4 Forecast Benchmark Comparison,"How does the ABM compare to standard statistical/econometric benchmarks under a like-for-like dynamic protocol?",EX07R,S06_04_T01,S06_04_F01,S06_04_T02;S06_04_T03;S06_04_T04;S06_04_T05,S06_04_F02;S06_04_F03;S06_04_F04;S06_04_F05,"ABM rank 1 of 12 in post-COVID dynamic protocol (0.273 pp vs no-change 0.309 pp). 0.036 pp / 13% margin lies within ±0.023 pp seed dispersion of V_Full. ABM is competitive with strong benchmarks, not dominant. Rolling one-step benchmarks are not directly comparable."
S06_05,Results 6.5 Robustness and Sensitivity,"Which findings are robust across alternative specifications?",EX06R;EX09;EX10;EX12;EX13;EX04R;EX08R;EX05R;EX07R,S06_05_T01,S06_05_F01,S06_05_T02;S06_05_T03;S06_05_T04;S06_05_T05;S06_05_T06;S06_05_T07,S06_05_F02;S06_05_F03;S06_05_F04;S06_05_F05;S06_05_F06,"Within post-COVID regime: robust (seed CV 3.08%, agent-count plateau, calibration-method invariance). Across regime transitions: not robust. Parameter identification is weak (10/14 weakly identified) while predictions are method-invariant; behavioural parameters should be reported as bands."
S06_06,Results 6.6 Summary of Results (optional),"One-page synthesis table mapping each claim to the supporting evidence.",all,S06_06_T01,—,—,—,"All section-level findings consolidated; matches the Claim-to-Evidence table."
APP_A,Appendix A — Detailed Tables,"Full per-seed and regime-specific tables.",EX04R;EX05R;EX07R;EX08R,—,—,multiple,—,Stored detailed tables corresponding to each main-text compact table.
APP_B,Appendix B — Robustness Sub-tests,"Training-window, horizon, agent-count, calibration-method details.",EX09;EX10;EX12;EX13,—,—,S06_05_T03–T07,S06_05_F02–F06,Legacy invariants restated for the M0/V_Full class.
