Figure ID,File path,Section ID,Source Experiment ID(s),Main text / Appendix,Caption,Main message,Status
S06_01_F01A,Results_PaperReady_Figures/S06_01_F01A_Observed_vs_Simulated_UR_Full__E4_v01.png,S06_01,E4,Main text,Observed (BLS UNRATE) vs 5-seed simulated V_Full UR across the full post-2018 window with regime shading (early-stable / 2020-2021 disruption / main recent evaluation).,Visual context of the V_Full trajectory across the three regimes and the 2020 spike under-prediction.,READY
S06_01_F01B,Results_PaperReady_Figures/S06_01_F01B_Observed_vs_Simulated_UR_MainEval__E4_v01.png,S06_01,E4,Main text,Observed vs 5-seed simulated V_Full UR on the main recent evaluation window (2022-01..2026-02) with the 0.273 pp headline call-out.,Visual confirmation of the 0.273 pp main-recent-evaluation tracking.,READY
S06_01_F02A,Results_PaperReady_Figures/S06_01_F02A_Regime_RMSE_Bar__E5_v01.png,S06_01,E5,Main text,UR RMSE by evaluation window (early-stable / 2020-2021 disruption / main recent evaluation / full post-2018) with cross-seed error bars and the recalibrated V_Full headline call-out.,Quantifies how tracking accuracy varies across windows; main-recent bar is the recalibrated V_Full headline.,READY
S06_01_F02B,Results_PaperReady_Figures/S06_01_F02B_Regime_Bias_Bar__E5_v01.png,S06_01,E5,Main text,UR bias (sim minus obs) by evaluation window with the recalibrated V_Full headline value (-0.167 pp) on the main-recent bar.,Sign and magnitude of systematic under/over-prediction by window.,READY
S06_02_F01,Results_PaperReady_Figures/S06_02_F01_Control_RMSE_Bar__E6_v01.png,S06_02,E6,Main text,Bar chart of UR RMSE for V_Full vs V_Homogeneous vs V_LaborOnly vs V_Simplified with 5-seed error bars.,Shows that the V_Full edge persists when controls are separately calibrated.,READY
S06_02_F02,Results_PaperReady_Figures/S06_02_F02_Source_of_Advantage__E7_v01.png,S06_02,E7,Main text,Three-bar accounting decomposition of the V_Full advantage: heterogeneity / mechanism / household-block.,Visual of the 94% / 6% / 31% within-experiment accounting decomposition.,READY
S06_03_F01,Results_PaperReady_Figures/S06_03_F01_Ablation_RMSE_Bar__E8_v01.png,S06_03,E8,Main text,Bar chart of UR RMSE for 6 recalibrated ablations with Δ vs V_Full annotation.,Search-friction heterogeneity is the least substitutable channel after recalibration.,READY
S06_03_F02,Results_PaperReady_Figures/S06_03_F02_Ladder_RMSE_Path__E9_v01.png,S06_03,E9,Main text,Step plot of UR RMSE vs number of active heterogeneity dimensions L0..L6.,Incremental marginal gain per heterogeneity dimension under the canonical insertion order.,READY
S06_04_F01,Results_PaperReady_Figures/S06_04_F01_Benchmark_RMSE_Bar__E10_v01.png,S06_04,E10,Main text,Horizontal bar chart of UR RMSE for ABM and 11 benchmarks on the post-COVID window; ABM bar highlighted.,ABM is competitive at the top of the benchmark set with a 0.036 pp margin over No-change/ETS.,READY
S06_04_F02,Results_PaperReady_Figures/S06_04_F02_Paths_Dynamic__E10_v01.png,S06_04,E10,Main text,Post-COVID dynamic-protocol forecast path overlay: ABM V_Full + top-4 benchmarks + observed UR.,Visual comparison of how the top tracking models trace the post-COVID UR series.,READY
S06_05_F01A,Results_PaperReady_Figures/S06_05_F01A_Training_Window__E11_v01.png,S06_05,E11,Main text,Per-split UR RMSE bar (E11): OOS-aligned splits remain near the 0.27 pp main-recent benchmark; two rolling-window splits degrade beyond 1 pp.,Tracking accuracy is stable on OOS-aligned splits; weakness is on rolling-window splits.,READY
S06_05_F01B,Results_PaperReady_Figures/S06_05_F01B_Horizon_Decay__E12_v01.png,S06_05,E12,Main text,Log-log forecast-horizon decay: ABM (shallowest slope) versus AR / VAR / DMP benchmarks.,Across 1..36-month horizons the ABM RMSE decays most slowly (slope -0.09) so its relative advantage grows with horizon.,READY
S06_05_F01C,Results_PaperReady_Figures/S06_05_F01C_Agent_Count_Plateau__E12_v01.png,S06_05,E12,Main text,Mean +/- SD UR RMSE versus agent count N on a log scale with the default N=100000 line.,RMSE plateaus for N >= 50000 (|deltaRMSE| < 0.015 pp).,READY
