Old File Name,New Proposed File Name,Section ID,Experiment ID,Asset Type,Internal ID,Suggested Manuscript Number,Main Text / Appendix,Caption,Core Claim Supported
正式撰写/fix6.1/tables/table1_regime_summary.csv,S06_01_T01_Regime_Performance__EX04R_v01.csv,S06_01,EX04R,Table,T01,"Table 6.1",Main,"Regime-specific UR/LFPR/EPOP performance across 5 evaluation windows.","Post-COVID UR RMSE 0.221 pp; COVID-crisis -2.07 pp bias; pre-COVID +0.77 pp bias."
正式撰写/fix6.1/tables/table2_seed_level_regime.csv,S06_01_T02_Seed_Level_Regime_Metrics__EX04R_v01.csv,S06_01,EX04R,Table,T02,"Table A1",Appendix,"Per-seed UR/LFPR/EPOP metrics for the 5 evaluation windows.","Seed dispersion small (CV 3.08% post-COVID)."
正式撰写/fix6.1/tables/table3_old_vs_regime_comparison.csv,S06_01_T03_Old_vs_Regime_Comparison__EX04R_v01.csv,S06_01,EX04R,Table,T03,"Table A2",Appendix,"Old single-window 0.214 pp number decomposed by regime.","Old number masked regime-asymmetric errors."
正式撰写/fix6.1/figures/fig1_full_period_ur.png,S06_01_F01_FullPeriod_UR_Path__EX04R_v01.png,S06_01,EX04R,Figure,F01,"Figure 6.1",Main,"Simulated vs observed unemployment 2018-01..2026-02 with regime shading.","Visualizes regime-specific fit quality."
正式撰写/fix6.1/figures/fig2_regime_ur_rmse_bar.png,S06_01_F02_Regime_UR_RMSE_Bar__EX04R_v01.png,S06_01,EX04R,Figure,F02,"Figure 6.2",Main,"UR RMSE bar by regime; post-COVID smallest.","Post-COVID is the regime of model strength."
正式撰写/fix6.1/figures/fig3_prediction_error_time.png,S06_01_F03_Prediction_Error_Time__EX04R_v01.png,S06_01,EX04R,Figure,F03,"Figure A1",Appendix,"Time series of sim-minus-observed UR.","Sign and magnitude of regime-specific bias."
正式撰写/fix6.1/figures/fig4_lfpr_epop_regime_bar.png,S06_01_F04_LFPR_EPOP_Regime_Bar__EX04R_v01.png,S06_01,EX04R,Figure,F04,"Figure A2",Appendix,"LFPR/EPOP RMSE by regime.","Tier-2 targets deteriorate post-COVID despite UR fit."
正式撰写/fix6.2/tables/table1_variant_summary.csv,S06_02_T01_Control_Comparison__EX08R_v01.csv,S06_02,EX08R,Table,T01,"Table 6.2",Main,"Re-calibrated V_Full/V_LaborOnly/V_Homogeneous/V_Simplified performance.","Full beats Simplified by 0.288 pp; advantage is moderate."
正式撰写/fix6.2/tables/table4_source_of_advantage.csv,S06_02_T02_Source_Advantage__EX08R_v01.csv,S06_02,EX08R,Table,T02,"Table 6.3",Main,"Total / heterogeneity-associated / mechanism / household gain decomposition.","Heterogeneity share 94.2%; mechanism share 5.8%."
正式撰写/fix6.2/tables/table6_old_vs_new_decomposition.csv,S06_02_T03_Old_vs_New_Control_Comparison__EX08R_v01.csv,S06_02,EX08R,Table,T03,"Table A3",Appendix,"Old shared-parameter vs new separately-calibrated control comparison.","Old comparison inflated heterogeneity gap by ~10x."
